#,Category,Difficulty,Dutch,English
169,COMMON WORDS,Easy,contact,contact
170,COMMON WORDS,Easy,functie,function
171,COMMON WORDS,Easy,warm,warm
172,COMMON WORDS,Easy,vinger,finger
173,COMMON WORDS,Easy,kleur,color
174,COMMON WORDS,Easy,pijn,pain
175,COMMON WORDS,Easy,glas,glass
176,COMMON WORDS,Easy,artikel,article
177,COMMON WORDS,Easy,eind,end
178,COMMON WORDS,Easy,persoonlijk,personally
179,COMMON WORDS,Easy,rood,red
180,COMMON WORDS,Easy,dokter,doctor
181,COMMON WORDS,Easy,zee,sea
182,COMMON WORDS,Easy,groeien,to grow
183,COMMON WORDS,Easy,koud,cold
184,COMMON WORDS,Easy,leiden,to lead
185,COMMON WORDS,Easy,staan,to stand
186,COMMON WORDS,Easy,familie,family
187,COMMON WORDS,Easy,periode,period
188,COMMON WORDS,Easy,sinds,since
189,COMMON WORDS,Easy,resultaat,result
190,COMMON WORDS,Easy,normaal,normal
191,COMMON WORDS,Easy,rond,round
192,COMMON WORDS,Easy,organisatie,organization
193,COMMON WORDS,Easy,speciaal,special
194,COMMON WORDS,Easy,patiënt,patient
195,COMMON WORDS,Easy,broer,brother
196,COMMON WORDS,Easy,leveren,to deliver
197,COMMON WORDS,Easy,hopen,to hope
198,COMMON WORDS,Easy,totaal,total
199,COMMON WORDS,Easy,zes,six
200,COMMON WORDS,Easy,blauw,blue
201,COMMON WORDS,Easy,stap,step
202,COMMON WORDS,Easy,karakter,character
203,COMMON WORDS,Easy,theorie,theory
204,COMMON WORDS,Easy,bloed,blood
205,COMMON WORDS,Easy,beter,better
206,COMMON WORDS,Easy,dochter,daughter
207,COMMON WORDS,Easy,stappen,to step
208,COMMON WORDS,Easy,droom,dream
209,COMMON WORDS,Easy,meter,meter
210,COMMON WORDS,Easy,steen,stone
211,COMMON WORDS,Easy,hulp,help
212,COMMON WORDS,Easy,rest,rest
213,COMMON WORDS,Easy,muziek,music
214,COMMON WORDS,Easy,maaltijd,meal
215,COMMON WORDS,Easy,openen,to open
216,COMMON WORDS,Easy,bank,bank
217,COMMON WORDS,Easy,papier,paper
218,COMMON WORDS,Easy,hoop,hope
219,COMMON WORDS,Easy,minister,minister
220,COMMON WORDS,Easy,wind,wind
221,COMMON WORDS,Easy,koffie,coffee
222,COMMON WORDS,Easy,stoppen,stop
223,COMMON WORDS,Easy,oor,ear
224,COMMON WORDS,Easy,informatie,information
225,COMMON WORDS,Easy,methode,method
226,COMMON WORDS,Easy,lip,lip
227,COMMON WORDS,Easy,positie,position
228,COMMON WORDS,Easy,alle,all
229,COMMON WORDS,Easy,enorm,enormous
230,COMMON WORDS,Easy,foto,photo
231,COMMON WORDS,Easy,film,movie
232,COMMON WORDS,Easy,activiteit,activity
233,COMMON WORDS,Easy,modern,modern
234,COMMON WORDS,Easy,geluk,luck
235,COMMON WORDS,Easy,basis,base
236,COMMON WORDS,Easy,zuster,sister
237,COMMON WORDS,Easy,wakker,awake
238,COMMON WORDS,Easy,tante,aunt
239,COMMON WORDS,Easy,vuur,fire
240,COMMON WORDS,Easy,prijs,price
241,COMMON WORDS,Easy,reactie,reaction
242,COMMON WORDS,Easy,praktijk,practice
243,COMMON WORDS,Easy,neus,nose
244,COMMON WORDS,Easy,terrein,terrain
245,COMMON WORDS,Easy,koning,king
246,COMMON WORDS,Easy,zingen,to sing
247,COMMON WORDS,Easy,vliegen,fly
248,COMMON WORDS,Easy,cultuur,culture
249,COMMON WORDS,Easy,missen,to miss
250,COMMON WORDS,Easy,politie,law enforcement
251,COMMON WORDS,Easy,wensen,to wish
252,COMMON WORDS,Easy,factor,factor
253,COMMON WORDS,Easy,begin,get started
254,COMMON WORDS,Easy,succes,good luck
255,COMMON WORDS,Easy,kosten,to cost
256,COMMON WORDS,Easy,natuur,nature
257,COMMON WORDS,Easy,hotel,hotel
258,COMMON WORDS,Easy,studie,study
259,COMMON WORDS,Easy,vriendelijk,friendly
260,COMMON WORDS,Easy,aspect,aspect
261,COMMON WORDS,Easy,figuur,figure
262,COMMON WORDS,Easy,ontbreken,lack
263,COMMON WORDS,Easy,nationaal,national
264,COMMON WORDS,Easy,ziek,sick
265,COMMON WORDS,Easy,term,term
266,COMMON WORDS,Easy,geef,give
267,COMMON WORDS,Easy,rennen,To run
268,COMMON WORDS,Easy,Engels,english
269,COMMON WORDS,Easy,effect,effect
270,COMMON WORDS,Easy,plant,plant
271,COMMON WORDS,Easy,product,product
272,COMMON WORDS,Easy,slaap,sleep
273,COMMON WORDS,Easy,tekst,text
274,COMMON WORDS,Easy,knie,knee
275,COMMON WORDS,Easy,geboren,born
276,COMMON WORDS,Easy,telefoon,phone
277,COMMON WORDS,Easy,individueel,individually
278,COMMON WORDS,Easy,structuur,structure
279,COMMON WORDS,Easy,helft,half
280,COMMON WORDS,Easy,trein,train
281,COMMON WORDS,Easy,praktisch,practical
282,COMMON WORDS,Easy,zomer,summer
283,COMMON WORDS,Easy,winnen,to win
284,COMMON WORDS,Easy,conclusie,conclusion
285,COMMON WORDS,Easy,baby,baby
286,COMMON WORDS,Easy,internationaal,international
287,COMMON WORDS,Easy,eiland,island
288,COMMON WORDS,Easy,meester,master
289,COMMON WORDS,Easy,kwaliteit,quality
290,COMMON WORDS,Easy,vullen,to fill
291,COMMON WORDS,Easy,individu,individual
292,COMMON WORDS,Easy,vervullen,fulfill
293,COMMON WORDS,Easy,plaatsen,place
294,COMMON WORDS,Easy,bespreken,discuss
295,COMMON WORDS,Easy,discussie,discussion
296,COMMON WORDS,Easy,sigaret,cigarette
297,COMMON WORDS,Easy,vis,fish
298,COMMON WORDS,Easy,absoluut,absolutely
299,COMMON WORDS,Easy,historisch,historical
300,COMMON WORDS,Easy,nummer,number
301,COMMON WORDS,Easy,schaduw,shadow
302,COMMON WORDS,Easy,leiding,leadership
303,COMMON WORDS,Easy,kat,cat
304,COMMON WORDS,Easy,universiteit,university
305,COMMON WORDS,Easy,mezelf,myself
306,COMMON WORDS,Easy,fase,phase
307,COMMON WORDS,Easy,technisch,technical
308,COMMON WORDS,Easy,positief,positive
309,COMMON WORDS,Easy,programma,program
310,COMMON WORDS,Easy,leider,leader
311,COMMON WORDS,Easy,wapen,weapon
312,COMMON WORDS,Easy,literatuur,literature
313,COMMON WORDS,Easy,brood,bread
314,COMMON WORDS,Easy,medisch,medical
315,COMMON WORDS,Easy,officier,officer
316,COMMON WORDS,Easy,rivier,river
317,COMMON WORDS,Easy,dansen,to dance
318,COMMON WORDS,Easy,interessant,interesting
319,COMMON WORDS,Easy,markt,market
320,COMMON WORDS,Easy,officieel,officially
321,COMMON WORDS,Easy,baas,boss
322,COMMON WORDS,Easy,schoen,shoe
323,COMMON WORDS,Easy,boot,boat
324,COMMON WORDS,Easy,vloer,floor
325,COMMON WORDS,Easy,dromen,to dream
326,COMMON WORDS,Easy,winter,winter
327,COMMON WORDS,Easy,maan,moon
328,COMMON WORDS,Easy,kilometer,kilometers
329,COMMON WORDS,Easy,wens,wish
330,COMMON WORDS,Easy,miljoen,million
331,COMMON WORDS,Easy,seconde,second
332,COMMON WORDS,Easy,rijk,rich
333,COMMON WORDS,Easy,bier,beer
334,COMMON WORDS,Easy,collega,colleague
335,COMMON WORDS,Easy,actie,action
336,COMMON WORDS,Easy,plezier,pleasure
337,COMMON WORDS,Easy,psychologie,psychology
338,COMMON WORDS,Easy,techniek,technic
339,COMMON WORDS,Easy,vechten,to fight
340,COMMON WORDS,Easy,gras,grass
341,COMMON WORDS,Easy,pad,path
342,COMMON WORDS,Easy,financieel,financial
343,COMMON WORDS,Easy,beïnvloeden,to influence
344,COMMON WORDS,Easy,actief,active
345,COMMON WORDS,Easy,ster,star
346,COMMON WORDS,Easy,machine,machine
347,COMMON WORDS,Easy,energie,energy
348,COMMON WORDS,Easy,gouden,golden
349,COMMON WORDS,Easy,nek,neck
350,COMMON WORDS,Easy,rusten,to rest
351,COMMON WORDS,Easy,auteur,author
352,COMMON WORDS,Easy,procent,per cent
353,COMMON WORDS,Easy,museum,museum
354,COMMON WORDS,Easy,realiseren,realize
355,COMMON WORDS,Easy,cultureel,cultural
356,COMMON WORDS,Easy,bus,bus
357,COMMON WORDS,Easy,directeur,director
358,COMMON WORDS,Easy,materiaal,material
359,COMMON WORDS,Easy,produceren,to produce
360,COMMON WORDS,Easy,veld,field
361,COMMON WORDS,Easy,gast,guest
362,COMMON WORDS,Easy,dubbel,double
363,COMMON WORDS,Easy,zand,sand
364,COMMON WORDS,Easy,centrum,centre
365,COMMON WORDS,Easy,productie,production
366,COMMON WORDS,Easy,westen,west
367,COMMON WORDS,Easy,specifiek,specific
368,COMMON WORDS,Easy,koel,cool
369,COMMON WORDS,Easy,wassen,To wash
370,COMMON WORDS,Easy,klant,client
371,COMMON WORDS,Easy,tong,tongue
372,COMMON WORDS,Easy,argument,argument
373,COMMON WORDS,Easy,negatief,negative
374,COMMON WORDS,Easy,kaas,cheese
375,COMMON WORDS,Easy,titel,title
376,COMMON WORDS,Easy,visie,vision
377,COMMON WORDS,Easy,persoonlijkheid,personality
378,COMMON WORDS,Easy,kust,coast
379,COMMON WORDS,Easy,danken,to thank
380,COMMON WORDS,Easy,radio,radio
381,COMMON WORDS,Easy,wijd,wide
382,COMMON WORDS,Easy,jezelf,yourself
383,COMMON WORDS,Easy,interesseren,to be interested
384,COMMON WORDS,Easy,olie,oil
385,COMMON WORDS,Easy,thee,tea
386,COMMON WORDS,Easy,risico,risk
387,COMMON WORDS,Easy,president,president
388,COMMON WORDS,Easy,groen,green
389,COMMON WORDS,Easy,honger,hungry
390,COMMON WORDS,Easy,traditioneel,traditional
391,COMMON WORDS,Easy,adres,address
392,COMMON WORDS,Easy,experiment,experiment
393,COMMON WORDS,Easy,fundamenteel,fundamentally
394,COMMON WORDS,Easy,advies,advice
395,COMMON WORDS,Easy,klimmen,to climb
396,COMMON WORDS,Easy,typisch,typical
397,COMMON WORDS,Easy,stijl,style
398,COMMON WORDS,Easy,top,top
399,COMMON WORDS,Easy,traditie,tradition
400,COMMON WORDS,Easy,heet,hot
401,COMMON WORDS,Easy,psychologisch,psychological
402,COMMON WORDS,Easy,computer,computer
403,COMMON WORDS,Easy,generatie,generation
404,COMMON WORDS,Easy,bodem,bottom
405,COMMON WORDS,Easy,student,student
406,COMMON WORDS,Easy,relatief,relatively
407,COMMON WORDS,Easy,categorie,category
408,COMMON WORDS,Easy,kalm,calm
409,COMMON WORDS,Easy,eindigen,to end
410,COMMON WORDS,Easy,goederen,goods
411,COMMON WORDS,Easy,formuleren,to formulate
412,COMMON WORDS,Easy,instrument,instrument
413,COMMON WORDS,Easy,klas,class
414,COMMON WORDS,Easy,combinatie,combination
415,COMMON WORDS,Easy,publiceren,to publish
416,COMMON WORDS,Easy,landschap,landscape
417,COMMON WORDS,Easy,warmte,warmth
418,COMMON WORDS,Easy,televisie,television
419,COMMON WORDS,Easy,organiseren,to organize
420,COMMON WORDS,Easy,patroon,pattern
421,COMMON WORDS,Easy,agent,agent
422,COMMON WORDS,Easy,emotie,emotion
423,COMMON WORDS,Easy,orgaan,organ
424,COMMON WORDS,Easy,provincie,province
425,COMMON WORDS,Easy,detail,detail
426,COMMON WORDS,Easy,restaurant,restaurant
427,COMMON WORDS,Easy,wild,wild
428,COMMON WORDS,Easy,pijnlijk,painful
429,COMMON WORDS,Easy,station,station
430,COMMON WORDS,Easy,klassiek,classic
431,COMMON WORDS,Easy,sector,sector
432,COMMON WORDS,Easy,eindeloos,endless
433,COMMON WORDS,Easy,emotioneel,emotional
434,COMMON WORDS,Easy,studeren,to study
435,COMMON WORDS,Easy,symbool,symbol
436,COMMON WORDS,Easy,luitenant,lieutenant
437,COMMON WORDS,Easy,passeren,pass
438,COMMON WORDS,Easy,motief,motive
439,COMMON WORDS,Easy,fabriek,factory
440,COMMON WORDS,Easy,lijst,list
441,COMMON WORDS,Easy,serieus,serious
442,COMMON WORDS,Easy,logisch,logical
443,COMMON WORDS,Easy,mama,mom
444,COMMON WORDS,Easy,vluchten,to flee
445,COMMON WORDS,Easy,noorden,north
446,COMMON WORDS,Easy,bijten,to bite
447,COMMON WORDS,Easy,vorming,formation
448,COMMON WORDS,Easy,leren,to learn
449,COMMON WORDS,Easy,café,cafe
450,COMMON WORDS,Easy,object,object
451,COMMON WORDS,Easy,Holland,Holland
452,COMMON WORDS,Easy,kamp,camp
453,COMMON WORDS,Easy,dun,thin
454,COMMON WORDS,Easy,ideaal,ideal
455,COMMON WORDS,Easy,juni,june
456,COMMON WORDS,Easy,accepteren,to accept
457,COMMON WORDS,Easy,initiatief,initiative
458,COMMON WORDS,Easy,bitter,bitter
459,COMMON WORDS,Easy,verspreiden,to spread
460,COMMON WORDS,Easy,verbieden,to forbid
461,COMMON WORDS,Easy,consequentie,consequence
462,COMMON WORDS,Easy,oktober,October
463,COMMON WORDS,Easy,westers,western
464,COMMON WORDS,Easy,jongeman,young man
465,COMMON WORDS,Easy,hoed,hat
466,COMMON WORDS,Easy,zenden,to send
467,COMMON WORDS,Easy,zondag,sunday
468,COMMON WORDS,Easy,theoretisch,theoretically
469,COMMON WORDS,Easy,psycholoog,psychologist
470,COMMON WORDS,Easy,pers,press
471,COMMON WORDS,Easy,terras,terrace
472,COMMON WORDS,Easy,klas,class
473,COMMON WORDS,Easy,dood,dead
474,COMMON WORDS,Easy,crisis,crisis
475,COMMON WORDS,Easy,studeren,to study
476,COMMON WORDS,Easy,pot,pot
477,COMMON WORDS,Easy,operatie,operation
478,COMMON WORDS,Easy,partner,partner
479,COMMON WORDS,Easy,suiker,sugar
480,COMMON WORDS,Easy,gemeen,mean
481,COMMON WORDS,Easy,reden,reason
482,COMMON WORDS,Easy,plaat,plate
483,COMMON WORDS,Easy,stijf,stiff
484,COMMON WORDS,Easy,economie,economy
485,COMMON WORDS,Easy,bruin,brown
486,COMMON WORDS,Easy,sneeuw,snow
487,COMMON WORDS,Easy,kruis,cross
488,COMMON WORDS,Easy,automatisch,automatically
489,COMMON WORDS,Easy,project,project
490,COMMON WORDS,Easy,hut,hut
491,COMMON WORDS,Easy,fruit,fruit
492,COMMON WORDS,Easy,communicatie,communication
493,COMMON WORDS,Easy,dom,dumb
494,COMMON WORDS,Medium,"boom, de",tree
495,COMMON WORDS,Medium,"stoel, de",chair
496,COMMON WORDS,Medium,van,from / of
497,COMMON WORDS,Medium,zijn,to be
498,COMMON WORDS,Medium,met,with
499,COMMON WORDS,Medium,als,if/when
500,COMMON WORDS,Medium,er,there
501,COMMON WORDS,Medium,maar,but
502,COMMON WORDS,Medium,om,around
503,COMMON WORDS,Medium,naar,to
504,COMMON WORDS,Medium,ook,also
505,COMMON WORDS,Medium,bij,at
506,COMMON WORDS,Medium,nog,yet
507,COMMON WORDS,Medium,tot,until
508,COMMON WORDS,Medium,ons/onze,our
509,COMMON WORDS,Medium,veel,many
510,COMMON WORDS,Medium,mens,human
511,COMMON WORDS,Medium,toch,however
512,COMMON WORDS,Medium,na,after
513,COMMON WORDS,Medium,tijd,time
514,COMMON WORDS,Medium,kind,child
515,COMMON WORDS,Medium,vrouw,woman
516,COMMON WORDS,Medium,oog,eye
517,COMMON WORDS,Medium,dus,so
518,COMMON WORDS,Medium,heel,very
519,COMMON WORDS,Medium,even,"for a bit, for a while"
520,COMMON WORDS,Medium,zelfs,even
521,COMMON WORDS,Medium,elk,each
522,COMMON WORDS,Medium,ver,far
523,COMMON WORDS,Medium,hoofd,head
524,COMMON WORDS,Medium,"zeer, heel",very
525,COMMON WORDS,Medium,een paar,a couple
526,COMMON WORDS,Medium,vraag,question
527,COMMON WORDS,Medium,vaak,often
528,COMMON WORDS,Medium,keer,times
529,COMMON WORDS,Medium,eerst,first
530,COMMON WORDS,Medium,weg,away
531,COMMON WORDS,Medium,zaak,"matter, business"
532,COMMON WORDS,Medium,net,just
533,COMMON WORDS,Medium,heen,away
534,COMMON WORDS,Medium,hoog,high
535,COMMON WORDS,Medium,juist,right
536,COMMON WORDS,Medium,sterk,strong
537,COMMON WORDS,Medium,waar,true
538,COMMON WORDS,Medium,deel,part
539,COMMON WORDS,Medium,snel,fast
540,COMMON WORDS,Medium,mooi,"beautiful, pretty"
541,COMMON WORDS,Medium,feit,fact
542,COMMON WORDS,Medium,zin,sentence
543,COMMON WORDS,Medium,kort,short
544,COMMON WORDS,Medium,vast,fixed
545,COMMON WORDS,Medium,stad,city
546,COMMON WORDS,Medium,vroeg,early
547,COMMON WORDS,Medium,stem,voice
548,COMMON WORDS,Medium,kant,side
549,COMMON WORDS,Medium,geld,money
550,COMMON WORDS,Medium,stuk,piece
551,COMMON WORDS,Medium,graag,gladly
552,COMMON WORDS,Medium,nou,well
553,COMMON WORDS,Medium,pas,only
554,COMMON WORDS,Medium,recht,straight
555,COMMON WORDS,Medium,zwaar,heavy
556,COMMON WORDS,Medium,lid,member
557,COMMON WORDS,Medium,eeuw,century
558,COMMON WORDS,Medium,mond,mouth
559,COMMON WORDS,Medium,opnieuw,again
560,COMMON WORDS,Medium,thuis,at home
561,COMMON WORDS,Medium,kracht,power
562,COMMON WORDS,Medium,ooit,ever
563,COMMON WORDS,Medium,kerk,church
564,COMMON WORDS,Medium,blik,look
565,COMMON WORDS,Medium,kans,opportunity
566,COMMON WORDS,Medium,brief,letter
567,COMMON WORDS,Medium,beeld,statue
568,COMMON WORDS,Medium,zacht,soft
569,COMMON WORDS,Medium,macht,power
570,COMMON WORDS,Medium,via / door,through
571,COMMON WORDS,Medium,gang,corridor
572,COMMON WORDS,Medium,been,leg
573,COMMON WORDS,Medium,slecht,bad
574,COMMON WORDS,Medium,wet,law
575,COMMON WORDS,Medium,bang,afraid
576,COMMON WORDS,Medium,dier,animal
577,COMMON WORDS,Medium,lucht,sky
578,COMMON WORDS,Medium,rug,back
579,COMMON WORDS,Medium,angst,fear
580,COMMON WORDS,Medium,laag,low
581,COMMON WORDS,Medium,raam,window
582,COMMON WORDS,Medium,hond,dog
583,COMMON WORDS,Medium,stil,quiet
584,COMMON WORDS,Medium,doel,target
585,COMMON WORDS,Medium,dienst,shift
586,COMMON WORDS,Medium,zwart,black
587,COMMON WORDS,Medium,menen,mean
588,COMMON WORDS,Medium,dik,fat
589,COMMON WORDS,Medium,paard,horse
590,COMMON WORDS,Medium,vreemd,strange
591,COMMON WORDS,Medium,taal,language
592,COMMON WORDS,Medium,volk,people
593,COMMON WORDS,Medium,aarde,soil
594,COMMON WORDS,Medium,stoel,chair
595,COMMON WORDS,Medium,muur,wall
596,COMMON WORDS,Medium,raad,advice
597,COMMON WORDS,Medium,boom,tree
598,COMMON WORDS,Medium,dorp,village
599,COMMON WORDS,Medium,breed,wide
600,COMMON WORDS,Medium,leeg,empty
601,COMMON WORDS,Medium,lief,sweet
602,COMMON WORDS,Medium,klaar,ready
603,COMMON WORDS,Medium,zorg,care
604,COMMON WORDS,Medium,gauw,soon
605,COMMON WORDS,Medium,trap,stairs
606,COMMON WORDS,Medium,gek,crazy
607,COMMON WORDS,Medium,blad,sheet
608,COMMON WORDS,Medium,spel,game
609,COMMON WORDS,Medium,zak,bag
610,COMMON WORDS,Medium,borst,chest
611,COMMON WORDS,Medium,hoop,pile
612,COMMON WORDS,Medium,fles,bottle
613,COMMON WORDS,Medium,grens,border
614,COMMON WORDS,Medium,hoek,corner
615,COMMON WORDS,Medium,oom,uncle
616,COMMON WORDS,Medium,vlak,flat
617,COMMON WORDS,Medium,buurt,neighborhood
618,COMMON WORDS,Medium,ruim,spacious
619,COMMON WORDS,Medium,blij,happy
620,COMMON WORDS,Medium,eten,food
621,COMMON WORDS,Medium,stof,dust
622,COMMON WORDS,Medium,gat,hole
623,COMMON WORDS,Medium,boer,farmer
624,COMMON WORDS,Medium,reis,"trip, journey"
625,COMMON WORDS,Medium,druk,busy
626,COMMON WORDS,Medium,druk,pressure
627,COMMON WORDS,Medium,vlug / snel,quickly
628,COMMON WORDS,Medium,schuld,debt
629,COMMON WORDS,Medium,leuk,fun
630,COMMON WORDS,Medium,bloem,flower
631,COMMON WORDS,Medium,huisarts,doctor
632,COMMON WORDS,Medium,fijn,nice
633,COMMON WORDS,Medium,links,left
634,COMMON WORDS,Medium,plek,place
635,COMMON WORDS,Medium,niks,nothing
636,COMMON WORDS,Medium,tand,tooth
637,COMMON WORDS,Medium,rand,edge
638,COMMON WORDS,Medium,bos,forest
639,COMMON WORDS,Medium,rust,peace/calm
640,COMMON WORDS,Medium,kring,circle
641,COMMON WORDS,Medium,grijs,gray
642,COMMON WORDS,Medium,haast,rush
643,COMMON WORDS,Medium,vlees,meat
644,COMMON WORDS,Medium,eis,demand
645,COMMON WORDS,Medium,streek,region
646,COMMON WORDS,Medium,smaak,taste
647,COMMON WORDS,Medium,traan,tear
648,COMMON WORDS,Medium,rij,queue
